MAG,Phyllostomus discolor (080613_8),Phyllostomus discolor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080913_7),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
MAG_167,461.2378018359341,43.45060193639799,0.23929495343706755,1937.000334838821,0,0.1057152427789271,0
MAG_168,7.5856124926701485,0,0,6187.120336558491,0,0,0
MAG_169,0,0,0.06476698139053083,747.8230010555902,0,0,0
MAG_17,0,0,0,0,0,1071.990477765465,4.522191075875632
MAG_170,510.6437988090498,59.731099456565154,0,6888.38725738626,0,0.5105118877365113,0
MAG_171,169.52296965370286,750.2705388203033,944.8431430917752,5038.83905742799,0,1.6793547917375127,6.587331386043701
MAG_172,415.9930457916452,0,13.191573346740137,505.2369512662656,0,2.772230670202999,5947.461807206936
MAG_173,108.83843537391074,0,0,0,0,0,1895.7759699918797
MAG_174,2627.239039651326,282.1246601231647,496.32459475772714,7.413571693342148,2055.8530661348755,12.778668704490824,6517.385736171933
MAG_175,46620.69266733704,104717.20468956284,1.9153733575640746,3.3131530339929127,20268.28348055303,3561.17894415645,2899.1602828850055
MAG_176,0,0,0,0,0,0,12076.846968089927
MAG_177,1562.8540586784377,0,0,7.753916207438944,0,0,1957.4076336665407
MAG_178,261.845546924209,0,0,0.50469730380854,0,0,2079.30959931359
MAG_179,27.389959584971674,0,0,0,0,0,1137.9435979268037
MAG_18,64.78062603793116,11.76902637193548,0,0.07427147862143353,0,261.07845164040083,0.03757248692289636
MAG_180,23701.09525461795,189802.79454480347,0,0,0,2198.664909351685,2146.706272593184
MAG_181,152.50895648624999,0,0,0.3004661342090887,0,0,4873.26189079224
MAG_182,7648.540273871686,1899.2766738926753,6786.896222049961,86424.20051408694,0,437.44591823288613,3731.901582398903
MAG_183,0,0,0,0,0,0,1120.0538428195948
MAG_184,353.15012295939556,91.51275375454213,17.94574572342724,0.93176753852377725,0,0,6430.651136718036
MAG_185,0,0,0,0,0,0,3748.348284651437
MAG_186,0,0,0,0,0,0,3694.0261189818275
MAG_187,63.72902887143137,0,0,0.6307623745227552,0,0,1319.3776502659587
MAG_188,4523.900164192876,3235.8627603192485,0.5175605424428222,5.193287994216102,1000.1153502805147,1.4918284341618198,1255.4822629363086
MAG_189,721.6742074931154,0,0,0.5324196028319956,0,0,871.5016478248439
MAG_19,0,0,0,0,0,198.66177014311864,0.02052718935003775
MAG_190,0,0,0,0,0,0,1022.4607119838469
MAG_191,0,0,0,0,0,0,1261.3645377034002
MAG_192,2932.606835701827,452.929932681885,0,0,0,2258.0995593135945,8476.773122551442
