clean_MAG,MAG,OTU_ID,Indicator taxa,host
MAG_77,raw-080913-2_bin_123,mOTU_38493,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_102062,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_1814,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_55511,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_43288,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_28586,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_92047,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_25298,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_162487,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_5882,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_6314,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_97369,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_77842,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_47081,*(P) Bacillota; (G) Gemella*,Phyllostomus hastatus
MAG_77,raw-080913-2_bin_123,mOTU_95811,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_54662,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_26756,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_47697,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_24699,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_124411,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_12702,*(P) Bacillota; (G) Gemella*,Phyllostomus hastatus
MAG_77,raw-080913-2_bin_123,mOTU_138753,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_157197,*(P) Bacillota; (C) Bacilli*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_25871,*(P) Bacillota; (G) Gemella*,Phyllostomus hastatus
MAG_81,raw-080913-2_bin_130,mOTU_112316,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_165756,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_99828,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_70581,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_45603,*(P) Cyanobacteriota; (O) Cyanobacteriales*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_162065,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_140152,*(P) Methanobacteriota_A; (F) Methanocaldococcaceae*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_155682,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_43682,*(P) Thermoproteota; (G) JALURD01*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_115376,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_114468,*(P) Halobacteriota; (C) Halobacteria*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_37710,*(P) Bacillota; (S) Streptococcus sobrinus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_162897,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_1384,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_1411,*(P) Bacillota; (O) Lactobacillales*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_43090,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_31181,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_90445,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_72238,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_160163,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_521,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_50319,*(P) Bacillota; (G) Enterococcus_B*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_77556,*(P) Bacillota; (S) Lysinibacillus sp026012395*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_99190,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
