clean_MAG,MAG,OTU_ID,phylum,host_family
MAG_74,raw-080913-2_bin_117,mOTU_177412,Bacteroidota,Dysgonomonadaceae
MAG_37,raw-080613-5-ph_rerun_bin_53,mOTU_172570,Actinomycetota,Actinomycetaceae
MAG_176,raw-080913-8-1-ph_bin_20,mOTU_171660,Bacillota,Enterococcaceae
MAG_204,raw-080913-8-1-ph_bin_6,mOTU_171501,Desulfobacterota,Desulfovibrionaceae
MAG_210,raw-080913-8-1-ph_rerun_bin_13,mOTU_171668,Bacillota,Enterococcaceae
MAG_184,raw-080913-8-1-ph_bin_33,mOTU_175982,Bacillota_A,Acutalibacteraceae
MAG_206,raw-080913-8-1-ph_bin_7,mOTU_171706,Desulfobacterota,Adiutricaceae
MAG_227,raw-080913-8-1-ph_rerun_bin_49,mOTU_175912,Bacillota,Streptococcaceae
MAG_236,raw-080913-8-1-ph_rerun_bin_70,mOTU_177371,Methanobacteriota,Methanobacteriaceae
MAG_213,raw-080913-8-1-ph_rerun_bin_1,mOTU_171836,Pseudomonadota,Enterobacteriaceae
MAG_187,raw-080913-8-1-ph_bin_3,mOTU_170847,Planctomycetota,Thermoguttaceae
MAG_238,raw-080913-8-1-ph_rerun_bin_72,mOTU_175838,Bacillota,Streptococcaceae
MAG_172,raw-080913-8-1-ph_bin_13,mOTU_175868,Bacillota,Enterococcaceae
MAG_212,raw-080913-8-1-ph_rerun_bin_19,mOTU_176255,Bacillota,Enterococcaceae
MAG_211,raw-080913-8-1-ph_rerun_bin_17,mOTU_171647,Bacillota,Enterococcaceae
MAG_197,raw-080913-8-1-ph_bin_5,mOTU_164056,Bacillota_A,CAG-74
MAG_181,raw-080913-8-1-ph_bin_28,mOTU_171687,Bacillota,Enterococcaceae
MAG_220,raw-080913-8-1-ph_rerun_bin_34,mOTU_171489,Desulfobacterota,Desulfovibrionaceae
MAG_215,raw-080913-8-1-ph_rerun_bin_24,mOTU_176897,Verrucomicrobiota,Akkermansiaceae
MAG_183,raw-080913-8-1-ph_bin_31,mOTU_54208,Bacillota_A,Christensenellaceae
MAG_214,raw-080913-8-1-ph_rerun_bin_20,mOTU_171426,Bacillota_A,Peptostreptococcaceae
MAG_184,raw-080913-8-1-ph_bin_33,mOTU_154593,Bacillota_A,Acutalibacteraceae
MAG_225,raw-080913-8-1-ph_rerun_bin_41,mOTU_170423,Bacillota_A,Eubacteriaceae
MAG_174,raw-080913-8-1-ph_bin_16,mOTU_175532,Bacillota_A,Clostridiaceae
MAG_232,raw-080913-8-1-ph_rerun_bin_57,mOTU_177350,Methanobacteriota,Methanobacteriaceae
MAG_201,raw-080913-8-1-ph_bin_65,mOTU_176257,Bacillota,Lactobacillaceae
MAG_185,raw-080913-8-1-ph_bin_38,mOTU_41625,Bacillota_A,Christensenellaceae
MAG_177,raw-080913-8-1-ph_bin_21,mOTU_171705,Desulfobacterota,Desulfobulbaceae
MAG_207,raw-080913-8-1-ph_bin_8,mOTU_171499,Desulfobacterota,Desulfovibrionaceae
MAG_209,raw-080913-8-1-ph_rerun_bin_12,mOTU_175947,Pseudomonadota,Burkholderiaceae_A
MAG_221,raw-080913-8-1-ph_rerun_bin_36,mOTU_83907,Bacillota_A,Eubacteriaceae
MAG_183,raw-080913-8-1-ph_bin_31,mOTU_41626,Bacillota_A,Christensenellaceae
MAG_197,raw-080913-8-1-ph_bin_5,mOTU_48767,Bacillota_A,CAG-74
MAG_228,raw-080913-8-1-ph_rerun_bin_4,mOTU_175815,Bacillota,Enterococcaceae
MAG_222,raw-080913-8-1-ph_rerun_bin_37,mOTU_171498,Desulfobacterota,Desulfovibrionaceae
MAG_224,raw-080913-8-1-ph_rerun_bin_40,mOTU_171675,Bacillota,Enterococcaceae
MAG_208,raw-080913-8-1-ph_bin_9,mOTU_171494,Desulfobacterota,Desulfovibrionaceae
MAG_188,raw-080913-8-1-ph_bin_40,mOTU_171777,Pseudomonadota,Rhodocyclaceae
MAG_185,raw-080913-8-1-ph_bin_38,mOTU_54225,Bacillota_A,Christensenellaceae
MAG_239,raw-080913-8-1-ph_rerun_bin_73,mOTU_41646,Bacillota_A,Ruminococcaceae
MAG_218,raw-080913-8-1-ph_rerun_bin_31,mOTU_171782,Desulfobacterota,Desulfovibrionaceae
MAG_221,raw-080913-8-1-ph_rerun_bin_36,mOTU_170476,Bacillota_A,Eubacteriaceae
MAG_223,raw-080913-8-1-ph_rerun_bin_39,mOTU_176852,Desulfobacterota,UBA2174_A
MAG_173,raw-080913-8-1-ph_bin_15,mOTU_171591,Bacillota_A,Ruminococcaceae
MAG_178,raw-080913-8-1-ph_bin_22,mOTU_171578,Desulfobacterota,Desulfovibrionaceae
MAG_198,raw-080913-8-1-ph_bin_60,mOTU_175896,Bacillota_A,Peptostreptococcaceae
MAG_202,raw-080913-8-1-ph_bin_66,mOTU_177368,Actinomycetota,Propionibacteriaceae
MAG_229,raw-080913-8-1-ph_rerun_bin_52,mOTU_176261,Desulfobacterota,Desulfovibrionaceae
MAG_189,raw-080913-8-1-ph_bin_43,mOTU_171707,Desulfobacterota,Adiutricaceae
MAG_226,raw-080913-8-1-ph_rerun_bin_45,mOTU_173888,Bacillota_A,Eubacteriaceae
